City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
317,Coihaique,CL,50.0,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
318,Damaturu,NG,73.83,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
323,Tecoanapa,MX,81.54,clear sky,16.5167,-98.75,Hotel Manglares
325,Abu Dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
326,Wenchi,GH,84.42,few clouds,7.7392,-2.1046,Ebenezer Hotel
327,Fowa,NG,82.6,clear sky,8.9167,6.4,
330,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
331,Wonthaggi,AU,66.99,scattered clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
332,Ambulu,ID,77.04,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
333,Sai Buri,TH,76.12,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
341,Te Anau,NZ,50.86,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
343,Waipawa,NZ,64.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
345,Mokhotlong,LS,58.87,moderate rain,-29.2894,29.0675,Shoeshoe Bed & Breakfast
347,Lichtenburg,ZA,73.9,broken clouds,-26.151999999999997,26.1597,Kennzy Guest House
351,Tingi,TZ,65.5,light rain,-11.3,35.0333,
352,Maldonado,UY,84.99,few clouds,-34.6667,-54.9167,La Cimarrona
356,Manavgat,TR,62.01,mist,36.7867,31.4431,Lake & River Side Hotel & Spa
358,Khani,GE,50.0,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
361,Boende,CD,75.7,clear sky,-0.2167,20.8667,
363,Det Udom,TH,59.0,clear sky,14.905999999999999,105.0784,Chatsuda Resort
365,Agogo,GH,79.83,broken clouds,6.8,-1.0819,Tele Centre Hotel
367,Lakatoro,VU,83.01,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
368,Maragogi,BR,80.26,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
369,Hobyo,SO,74.97,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
371,Dunda,TZ,65.34,light rain,-8.1167,34.25,
372,Coos Bay,US,53.6,mist,43.3665,-124.2179,Best Western Holiday Hotel
374,Rawson,AR,73.94,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
376,Tuatapere,NZ,55.99,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
381,Soyo,AO,78.17,clear sky,-6.1349,12.3689,Hotel Mpampa
