City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Tenabo,MX,75.2,scattered clouds,20.05,-90.2333,HOSPEDAJE MARTINEZ
557,Surt,LY,74.35,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
563,Vila Do Maio,CV,73.4,broken clouds,15.1333,-23.2167,Residence 'I Delfini'
575,Kendari,ID,77.05,moderate rain,-3.945,122.4989,Hotel Wixel
576,Bowen,AU,73.4,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
583,Vaijapur,IN,75.2,drizzle,19.9167,74.7333,HOTEL MATOSHRI
587,Kandrian,PG,78.53,overcast clouds,-6.2167,149.55,Kandrian Station
588,Constitucion,CL,63.5,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
592,El Centro,US,70.0,clear sky,32.792,-115.56299999999999,Holiday Inn Express & Suites El Centro
593,Nha Trang,VN,75.2,light rain,12.25,109.1833,Hanoi Golden Hotel
594,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
599,San Policarpo,PH,79.88,heavy intensity rain,12.1791,125.5072,JM Lodge
601,Kaeo,NZ,66.99,overcast clouds,-35.1,173.7833,Bushido Lodge
603,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
606,Labuhan,ID,77.18,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
609,Flinders,AU,60.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
612,Tarana,IN,64.02,few clouds,23.3333,76.0333,दिल्ली दरबार होटल
613,Namatanai,PG,79.12,overcast clouds,-3.6667,152.4333,Namatanai Hotel
614,Coquimbo,CL,64.4,scattered clouds,-29.9533,-71.3436,Hotel San Juan
615,Lebowakgomo,ZA,71.6,clear sky,-24.2,29.5,Chuene Resort
618,Digha,IN,72.75,clear sky,21.6833,87.55,Khoniker Atithi
621,Marsh Harbour,BS,65.12,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
628,Whitianga,NZ,64.99,clear sky,-36.8333,175.7,Beachside Resort Whitianga
629,Watsa,CD,70.16,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
636,West Bay,KY,79.0,few clouds,19.3667,-81.4167,Calypso Cove
638,Sawtell,AU,64.4,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
640,Yokadouma,CM,74.95,clear sky,3.5167,15.05,Hôtel De Ville De Yokadouma
642,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
